21 3 
59.3175800080251 91.8842038849494 25.638294296875163
66.22257281272235 83.03775509897186 25.98442556136769
59.224880877598935 87.4688532548143 28.906422933413218
56.68668633418189 80.30894763294604 25.14695628931929
65.32247311448059 83.72428161886904 27.539724058316033
56.70512925164608 113.40084753567476 25.901134244729487
57.3882652699552 93.58737753709602 25.981183198915307
65.68716863949427 101.13260602067335 28.124122999701658
68.78369118240813 91.6889723287986 25.107253799065877
56.67432692191108 81.65038826981709 29.374046812676394
77.60398381752155 92.77691577922484 35.19793876754275
56.28862487754059 89.7665297865044 25.076264212705958
58.29061121880792 89.94677229040799 30.94507997472321
70.81024294381652 79.96955016570986 25.767070454257833
65.48746264150114 97.82587573044833 27.7852163145074
64.41242152150949 91.92186720835396 29.077774441507465
56.19013636913014 102.36217439313629 28.128983549294958
71.66491380872432 89.26564005247994 25.465745626088093
73.65720777174755 89.8069289057173 25.629367806254628
67.57192047100628 79.58816214738675 30.525548418151466
64.66962879704522 81.7326650746914 26.094715336865086
